panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	official_L1_kind	official_L1_pp	Pearson_union	Pearson_truth_only	added_mass_before_norm	selected_candidates
cami2_toy_mouse_gut	5	normalized_depth_alpha0.5_cap0.005	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha0.5_cap0.01	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha0.5_cap0.02	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha0.5_cap0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha1_cap0.001	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha1_cap0.003	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha1_cap0.005	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha1_cap0.01	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha1_cap0.02	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha1_cap0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha2_cap0.001	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha2_cap0.003	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha2_cap0.005	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha2_cap0.01	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha2_cap0.02	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	normalized_depth_alpha2_cap0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.1	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.25	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha1	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha2	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha10	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_cap0.001	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_cap0.003	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_cap0.005	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_cap0.01	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_cap0.02	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_cap0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.25_cap0.001	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.25_cap0.003	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.25_cap0.005	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.25_cap0.01	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.25_cap0.02	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
cami2_toy_mouse_gut	5	raw_abundance_scaled_alpha0.25_cap0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	15.41422817260932	truth_only	15.41422817260932	0.991379921189631	0.9917478920123491	0.0	0
