panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_delta_F1	min_delta_F1	worsened_samples	improved_samples	mean_official_L1_pp	mean_delta_official_L1_pp	max_worse_official_L1_pp	mean_official_Pearson	mean_delta_official_Pearson	current_panel_mean_F1	current_panel_pooled_F1	current_panel_L1_pp	current_panel_Pearson	delta_panel_mean_F1	delta_panel_pooled_F1	delta_panel_L1_pp	delta_panel_Pearson
cami2_toy_mouse_gut	current_calls	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	0.0	0.0	0	0	13.767837122926558	0.0	0.0	0.987976607726638	0.0	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	0.0	0.0	0.0	0.0
cami2_toy_mouse_gut	drop_ani_lt_0.95_and_breadth_lt_0.05	5,6,7	0.8802298022448731	0.8609112709832134	359	8	108	-0.013608957795004298	-0.040826873385012896	1	0	13.739256335329868	-0.028580787596689916	0.0	0.9879776182568826	1.0105302447419955e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.013608957795004262	-0.01673578784031604	-0.028580787596689916	1.0105302445939657e-06
cami2_toy_mouse_gut	drop_ani_lt_0.95_and_breadth_lt_0.1	5,6,7	0.8551803871704163	0.8300492610837438	337	8	130	-0.03865837286946109	-0.08306559571619809	2	0	13.643539185277662	-0.12429793764889396	0.0	0.9880108393693977	3.423164275976701e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.038658372869461055	-0.047597797739785674	-0.12429793764889574	3.423164275973001e-05
cami2_toy_mouse_gut	drop_ani_lt_0.95_and_breadth_lt_0.2	5,6,7	0.8408620702776336	0.8125	325	8	142	-0.05297668976224368	-0.10535105657805044	2	0	13.703585820396668	-0.06425130252988846	0.0	0.9880612048814129	8.45971547750457e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.05297668976224379	-0.06514705882352945	-0.06425130252988964	8.459715477493468e-05
cami2_toy_mouse_gut	drop_ani_lt_0.96_and_breadth_lt_0.05	5,6,7	0.8768028091329588	0.8567990373044524	356	8	111	-0.017035950906918635	-0.05110785272075591	1	0	13.748445987654534	-0.019391135272022336	0.0	0.987977636063733	1.0283370950695907e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.017035950906918562	-0.020848021519077053	-0.01939113527202352	1.0283370950325832e-06
cami2_toy_mouse_gut	drop_ani_lt_0.96_and_breadth_lt_0.1	5,6,7	0.8443369410293924	0.8169364881693648	328	8	139	-0.049501819010485004	-0.10535105657805044	2	0	13.721353955400566	-0.046483167525990986	0.0	0.9880104117480029	3.3804021364880477e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.049501819010485004	-0.06071057065416463	-0.046483167525991576	3.3804021364880477e-05
cami2_toy_mouse_gut	drop_ani_lt_0.96_and_breadth_lt_0.2	5,6,7	0.8284259010220548	0.7974683544303798	315	8	152	-0.06541285901782252	-0.12847222222222232	2	0	13.811199901887013	0.043362778960454186	0.11484042072806311	0.9880608704560564	8.426272941837916e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.06541285901782257	-0.08017870439314967	0.04336277896045537	8.426272941841617e-05
cami2_toy_mouse_gut	drop_ani_lt_0.97_and_breadth_lt_0.05	5,6,7	0.8756470389069797	0.8554216867469879	355	8	112	-0.018191721132897614	-0.05457516339869284	1	0	13.753968089989996	-0.013869032936560425	0.0	0.9879776230037796	1.0152771416175692e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.018191721132897687	-0.022225372076541516	-0.01386903293656161	1.0152771415805617e-06
cami2_toy_mouse_gut	drop_ani_lt_0.97_and_breadth_lt_0.1	5,6,7	0.8323958343740738	0.802017654476671	318	8	149	-0.061442925665803595	-0.11296296296296293	2	0	13.800920925692816	0.03308380276625833	0.12719866995951534	0.9880095946706028	3.2986943964807836e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.06144292566580356	-0.0756294043468585	0.03308380276625833	3.2986943964807836e-05
cami2_toy_mouse_gut	drop_ani_lt_0.97_and_breadth_lt_0.2	5,6,7	0.806733468874044	0.7710219922380337	298	8	169	-0.08710529116583339	-0.15656727014554495	2	0	14.061405649291823	0.29356852636526476	0.5675996339514793	0.988060834185157	8.422645851905812e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.08710529116583343	-0.10662506658549575	0.29356852636526476	8.422645851902111e-05
cami2_toy_mouse_gut	drop_ani_lt_0.98_and_breadth_lt_0.05	5,6,7	0.8744844499776027	0.8540410132689986	354	8	113	-0.01935431006227469	-0.05806293018682407	1	0	13.76390341729469	-0.00393370563186816	0.0	0.9879775763250999	9.685984618812427e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.019354310062274727	-0.02360604555453083	-0.003933705631867568	9.685984618812427e-07
cami2_toy_mouse_gut	drop_ani_lt_0.98_and_breadth_lt_0.1	5,6,7	0.825007884055219	0.7928843710292249	312	8	155	-0.0688308759846585	-0.11680426556587553	2	0	13.84341856760642	0.07558144467986179	0.22154061836383576	0.9880091705462188	3.25628195809354e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.06883087598465842	-0.08476268779430451	0.07558144467986239	3.256281958086138e-05
cami2_toy_mouse_gut	drop_ani_lt_0.98_and_breadth_lt_0.2	5,6,7	0.78673306214576	0.7467018469656992	283	8	184	-0.10710569789411735	-0.1731930960086301	2	0	14.278867852010327	0.5110307290837692	0.8494063558687497	0.9880601576472455	8.354992060766175e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.10710569789411739	-0.13094521185783026	0.5110307290837692	8.354992060755073e-05
cami2_toy_mouse_gut	drop_depth_lt_0.5_and_breadth_lt_0.05	5,6,7	0.870563089159416	0.8495145631067961	350	7	117	-0.02327567088046134	-0.06982701264138402	1	0	13.783258657174665	0.015421534248107585	0.04626460274432276	0.9879775225270623	9.148004242639137e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.02327567088046134	-0.028132495716733374	0.015421534248106994	9.148004243009211e-07
cami2_toy_mouse_gut	drop_depth_lt_0.5_and_breadth_lt_0.1	5,6,7	0.7914517638253521	0.7526315789473684	286	7	181	-0.1023869962145253	-0.17515381831342736	2	0	14.040138118905455	0.2723009959788989	0.4959358345034026	0.9880082217332068	3.161400656888821e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.1023869962145253	-0.12501547987616102	0.2723009959788971	3.161400656881419e-05
cami2_toy_mouse_gut	drop_depth_lt_0.5_and_breadth_lt_0.2	5,6,7	0.7041584785613778	0.6534090909090909	230	7	237	-0.18968028147849955	-0.2906619385342789	3	0	14.977641863931275	1.2098047410047188	1.8793473861680194	0.9880583630874952	8.175536085723116e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.18968028147849958	-0.2242379679144385	1.2098047410047172	8.175536085719415e-05
cami2_toy_mouse_gut	drop_depth_lt_0.5_and_breadth_lt_0.3	5,6,7	0.605042905855914	0.5460122699386503	178	7	289	-0.28879585418396336	-0.41662376662376666	3	0	16.91071031060467	3.142873187678114	4.971339089124401	0.9880446529062737	6.804517963573027e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.28879585418396336	-0.3316347888848792	3.142873187678113	6.804517963576728e-05
cami2_toy_mouse_gut	drop_depth_lt_1_and_breadth_lt_0.05	5,6,7	0.870563089159416	0.8495145631067961	350	7	117	-0.02327567088046134	-0.06982701264138402	1	0	13.783258657174665	0.015421534248107585	0.04626460274432276	0.9879775225270623	9.148004242639137e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.02327567088046134	-0.028132495716733374	0.015421534248106994	9.148004243009211e-07
cami2_toy_mouse_gut	drop_depth_lt_1_and_breadth_lt_0.1	5,6,7	0.7914517638253521	0.7526315789473684	286	7	181	-0.1023869962145253	-0.17515381831342736	2	0	14.040138118905455	0.2723009959788989	0.4959358345034026	0.9880082217332068	3.161400656888821e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.1023869962145253	-0.12501547987616102	0.2723009959788971	3.161400656881419e-05
cami2_toy_mouse_gut	drop_depth_lt_1_and_breadth_lt_0.2	5,6,7	0.7041584785613778	0.6534090909090909	230	7	237	-0.18968028147849955	-0.2906619385342789	3	0	14.977641863931275	1.2098047410047188	1.8793473861680194	0.9880583630874952	8.175536085723116e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.18968028147849958	-0.2242379679144385	1.2098047410047172	8.175536085719415e-05
cami2_toy_mouse_gut	drop_depth_lt_1_and_breadth_lt_0.3	5,6,7	0.6019774653654435	0.5437788018433178	177	7	290	-0.29186129467443384	-0.41662376662376666	3	0	16.910459652960963	3.142622530034405	4.971339089124401	0.9880531240718038	7.65163451658483e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.2918612946744339	-0.3338682569802116	3.142622530034405	7.65163451658113e-05
cami2_toy_mouse_gut	drop_depth_lt_2_and_breadth_lt_0.05	5,6,7	0.870563089159416	0.8495145631067961	350	7	117	-0.02327567088046134	-0.06982701264138402	1	0	13.783258657174665	0.015421534248107585	0.04626460274432276	0.9879775225270623	9.148004242639137e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.02327567088046134	-0.028132495716733374	0.015421534248106994	9.148004243009211e-07
cami2_toy_mouse_gut	drop_depth_lt_2_and_breadth_lt_0.1	5,6,7	0.7914517638253521	0.7526315789473684	286	7	181	-0.1023869962145253	-0.17515381831342736	2	0	14.040138118905455	0.2723009959788989	0.4959358345034026	0.9880082217332068	3.161400656888821e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.1023869962145253	-0.12501547987616102	0.2723009959788971	3.161400656881419e-05
cami2_toy_mouse_gut	drop_depth_lt_2_and_breadth_lt_0.2	5,6,7	0.7041584785613778	0.6534090909090909	230	7	237	-0.18968028147849955	-0.2906619385342789	3	0	14.977641863931275	1.2098047410047188	1.8793473861680194	0.9880583630874952	8.175536085723116e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.18968028147849958	-0.2242379679144385	1.2098047410047172	8.175536085719415e-05
cami2_toy_mouse_gut	drop_depth_lt_2_and_breadth_lt_0.3	5,6,7	0.6019774653654435	0.5437788018433178	177	7	290	-0.29186129467443384	-0.41662376662376666	3	0	16.910459652960963	3.142622530034405	4.971339089124401	0.9880531240718038	7.65163451658483e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.2918612946744339	-0.3338682569802116	3.142622530034405	7.65163451658113e-05
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_breadth_lt_0.05	5,6,7	0.8906797186455419	0.8736717827626919	370	10	97	-0.003159041394335501	-0.009477124183006502	1	0	13.716706397820348	-0.051130725106209717	0.0	0.9879773105019058	7.027752678319862e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.0031590413943355378	-0.003975276060837585	-0.051130725106210306	7.027752678689936e-07
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_breadth_lt_0.1	5,6,7	0.8831535695942475	0.8642857142857142	363	10	104	-0.010685190445629803	-0.01911487758945385	2	0	13.739746695869576	-0.0280904270569818	0.13738400162457864	0.9879794967180541	2.8889914162055774e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.010685190445629877	-0.013361344537815234	-0.028090427056982392	2.888991416094555e-06
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_breadth_lt_0.2	5,6,7	0.8809769078890892	0.8615751789976134	361	10	106	-0.01286185215078813	-0.022363865281712303	2	0	13.80424983263464	0.03641270970808345	0.217672173921585	0.9879783236302287	1.7159035906969915e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.012861852150788167	-0.01607187982591607	0.03641270970808286	1.7159035907710063e-06
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_breadth_lt_0.3	5,6,7	0.8798770280710791	0.860215053763441	360	10	107	-0.013961731968798316	-0.022363865281712303	2	0	13.88894204539158	0.12110492246502247	0.47174881219240206	0.9879742052207594	-2.402505878499698e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.013961731968798241	-0.017432005060088462	0.12110492246502247	-2.402505878573713e-06
