method	panels	mean_panel_pooled_F1	mean_panel_official_L1_pp	mean_panel_Pearson_union	mean_panel_added_mass_before_norm	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson_union	improved_samples_L1	worsened_samples_L1	unchanged_samples_L1	improved_panels_L1	worsened_panels_L1	mean_added_mass_before_norm
xny_share_alpha0.1	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.12469792209658	0.9214039147781945	0.065625	1.6175923319351866	14.360642472621564	-0.003266460721968921	4.0	9.0	19.0	1.0	3.0	0.04062500000000001
xny_share_alpha0.25	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	43.76171245220691	0.8544018089773263	0.1640625	7.69704084713417	33.05182024695113	-0.04772640145534758	2.0	11.0	19.0	1.0	3.0	0.1015625
xny_share_alpha0.25_cap0.001	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.89075156620969	0.9191792493375806	0.000875	-0.05731902256748084	0.0	0.0001983779739202149	13.0	0.0	19.0	4.0	0.0	0.000625
xny_share_alpha0.25_cap0.003	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.675194731559515	0.9201517768138938	0.002625	-0.14894312596320342	0.19075430651770375	0.0005722339045843364	11.0	2.0	19.0	4.0	0.0	0.001875
xny_share_alpha0.25_cap0.005	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.511461443460064	0.921084307684082	0.004375	-0.19933777044405593	0.8763532482479448	0.0009153520431053018	11.0	2.0	19.0	4.0	0.0	0.003125
xny_share_alpha0.25_cap0.01	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.18588686582693	0.9232383221485617	0.00875	-0.24443942544898084	3.420362172179381	0.0016376072589731096	10.0	3.0	19.0	3.0	1.0	0.00625
xny_share_alpha0.25_cap0.02	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.70495870153374	0.9267734562031804	0.0175	-0.12894651891204106	8.60833194365167	0.0025010728940702	7.0	6.0	19.0	3.0	1.0	0.0125
xny_share_alpha0.25_cap0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.064131711046656	0.9312125281974744	0.04375	0.8332485896812571	22.516056008992443	0.0008088692248570013	4.0	9.0	19.0	2.0	2.0	0.03125
xny_share_alpha0.5	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	55.209633773711566	0.7363601917224044	0.328125	16.07988511451766	56.083528635600366	-0.1260995103662123	1.0	12.0	19.0	0.0	4.0	0.203125
xny_share_alpha0.5_cap0.001	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.89075156620969	0.9191792493375806	0.000875	-0.05731902256748084	0.0	0.0001983779739202149	13.0	0.0	19.0	4.0	0.0	0.000625
xny_share_alpha0.5_cap0.003	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.675194731559515	0.9201517768138938	0.002625	-0.14894312596320342	0.19075430651770375	0.0005722339045843364	11.0	2.0	19.0	4.0	0.0	0.001875
xny_share_alpha0.5_cap0.005	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.511461443460064	0.921084307684082	0.004375	-0.19933777044405593	0.8763532482479448	0.0009153520431053018	11.0	2.0	19.0	4.0	0.0	0.003125
xny_share_alpha0.5_cap0.01	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.18588686582693	0.9232383221485617	0.00875	-0.24443942544898084	3.420362172179381	0.0016376072589731096	10.0	3.0	19.0	3.0	1.0	0.00625
xny_share_alpha0.5_cap0.02	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.70495870153374	0.9267734562031804	0.0175	-0.12894651891204106	8.60833194365167	0.0025010728940702	7.0	6.0	19.0	3.0	1.0	0.0125
